telemetry_id,vessel_name,vessel_type,speed_knots,beaufort_scale,cargo_weight_tons,route_status,timestamp,fuel_consumption_mt
TEL-10000,MV Fleet_07,LNG Carrier,9.25,3.0,7736,Underway,2026-05-24 16:26:43.203853,7.6
TEL-10001,MV Fleet_20,Bulk Carrier,19.31,3.0,38724,Underway,2026-05-24 16:41:43.203853,10.68
TEL-10002,MV Fleet_15,LNG Carrier,22.72,9.0,16440,Underway,2026-05-24 16:56:43.203853,22.6
TEL-10003,MV Fleet_11,Bulk Carrier,12.33,2.0,10180,Underway,2026-05-24 17:11:43.203853,3.75
TEL-10004,MV Fleet_08,Bulk Carrier,13.93,4.0,35284,Anchored,2026-05-24 17:26:43.203853,10.79
TEL-10005,MV Fleet_07,LNG Carrier,17.1,6.0,46375,Underway,2026-05-24 17:41:43.203853,14.0
TEL-10006,MV Fleet_19,Bulk Carrier,22.11,3.0,16646,Underway,2026-05-24 17:56:43.203853,13.87
TEL-10007,MV Fleet_11,LNG Carrier,23.07,7.0,24029,Underway,2026-05-24 18:11:43.203853,18.42
TEL-10008,MV Fleet_11,Container,19.83,7.0,25158,Underway,2026-05-24 18:26:43.203853,19.53
TEL-10009,MV Fleet_04,LNG Carrier,9.39,5.0,19342,Underway,2026-05-24 18:41:43.203853,10.1
TEL-10010,MV Fleet_08,Container,18.71,3.0,42781,Moored,2026-05-24 18:56:43.203853,8.96
TEL-10011,MV Fleet_03,Bulk Carrier,14.56,2.0,5084,Underway,2026-05-24 19:11:43.203853,8.49
TEL-10012,MV Fleet_02,LNG Carrier,15.53,4.0,6935,Underway,2026-05-24 19:26:43.203853,8.65
TEL-10013,MV Fleet_12,Bulk Carrier,8.79,4.0,35466,Underway,2026-05-24 19:41:43.203853,5.94
TEL-10014,MV Fleet_06,LNG Carrier,11.06,8.0,47376,Moored,2026-05-24 19:56:43.203853,16.31
TEL-10015,MV Fleet_02,Container,20.65,8.0,14262,Underway,2026-05-24 20:11:43.203853,19.38
TEL-10016,MV Fleet_01,Container,15.26,5.0,16604,Underway,2026-05-24 20:26:43.203853,11.72
TEL-10017,MV Fleet_12,LNG Carrier,12.83,6.0,47481,Underway,2026-05-24 20:41:43.203853,11.31
TEL-10018,MV Fleet_12,Container,14.14,8.0,28133,Underway,2026-05-24 20:56:43.203853,16.86
TEL-10019,MV Fleet_17,Bulk Carrier,21.67,1.0,33667,Underway,2026-05-24 21:11:43.203853,8.56
TEL-10020,MV Fleet_10,Bulk Carrier,19.98,5.0,40241,Moored,2026-05-24 21:26:43.203853,14.3
TEL-10021,MV Fleet_16,Tanker,12.36,4.0,38503,Anchored,2026-05-24 21:41:43.203853,7.18
TEL-10022,MV Fleet_15,Container,9.88,4.0,7838,Underway,2026-05-24 21:56:43.203853,7.88
TEL-10023,MV Fleet_15,Bulk Carrier,12.03,2.0,40330,Underway,2026-05-24 22:11:43.203853,6.01
TEL-10024,MV Fleet_19,LNG Carrier,22.73,1.0,18440,Underway,2026-05-24 22:26:43.203853,10.4
TEL-10025,MV Fleet_12,Container,17.31,6.0,41674,Anchored,2026-05-24 22:41:43.203853,14.6
TEL-10026,MV Fleet_20,Bulk Carrier,16.54,7.0,39040,Underway,2026-05-24 22:56:43.203853,14.72
TEL-10027,MV Fleet_03,Container,17.54,5.0,42604,Underway,2026-05-24 23:11:43.203853,13.14
TEL-10028,MV Fleet_05,LNG Carrier,13.86,8.0,39630,Moored,2026-05-24 23:26:43.203853,16.96
TEL-10029,MV Fleet_19,Bulk Carrier,20.91,,41994,Underway,2026-05-24 23:41:43.203853,18.3
TEL-10030,MV Fleet_07,Tanker,16.37,2.0,31339,Anchored,2026-05-24 23:56:43.203853,7.39
TEL-10031,MV Fleet_09,Tanker,9.87,4.0,35384,Underway,2026-05-25 00:11:43.203853,8.27
TEL-10032,MV Fleet_07,Container,10.07,9.0,46782,Underway,2026-05-25 00:26:43.203853,14.15
TEL-10033,MV Fleet_18,LNG Carrier,16.59,5.0,37643,Underway,2026-05-25 00:41:43.203853,13.63
TEL-10034,MV Fleet_04,Bulk Carrier,22.99,3.0,21926,Underway,2026-05-25 00:56:43.203853,13.65
TEL-10035,MV Fleet_14,LNG Carrier,12.93,6.0,43977,Moored,2026-05-25 01:11:43.203853,13.6
TEL-10036,MV Fleet_18,Bulk Carrier,21.91,3.0,28652,Underway,2026-05-25 01:26:43.203853,15.35
TEL-10037,MV Fleet_09,Container,20.23,5.0,15270,Underway,2026-05-25 01:41:43.203853,14.64
TEL-10038,MV Fleet_02,Bulk Carrier,11.96,3.0,22268,Underway,2026-05-25 01:56:43.203853,6.79
TEL-10039,MV Fleet_20,LNG Carrier,8.58,6.0,41417,Underway,2026-05-25 02:11:43.203853,11.95
TEL-10040,MV Fleet_15,LNG Carrier,9.63,5.0,25317,Underway,2026-05-25 02:26:43.203853,8.5
TEL-10041,MV Fleet_07,Container,19.66,9.0,41434,Underway,2026-05-25 02:41:43.203853,20.52
TEL-10042,MV Fleet_12,LNG Carrier,11.19,3.0,20448,Anchored,2026-05-25 02:56:43.203853,8.48
TEL-10043,MV Fleet_08,Bulk Carrier,13.94,6.0,14913,Underway,2026-05-25 03:11:43.203853,13.77
TEL-10044,MV Fleet_15,Container,16.03,8.0,13566,Underway,2026-05-25 03:26:43.203853,18.58
TEL-10045,MV Fleet_03,Bulk Carrier,19.61,7.0,37444,Anchored,2026-05-25 03:41:43.203853,16.39
TEL-10046,MV Fleet_14,LNG Carrier,9.81,6.0,20605,Underway,2026-05-25 03:56:43.203853,12.0
TEL-10047,MV Fleet_17,Container,14.5,2.0,5557,Anchored,2026-05-25 04:11:43.203853,6.91
TEL-10048,MV Fleet_04,Bulk Carrier,15.76,7.0,47240,Underway,2026-05-25 04:26:43.203853,15.22
TEL-10049,MV Fleet_18,LNG Carrier,16.65,8.0,49383,Underway,2026-05-25 04:41:43.203853,17.15
TEL-10050,MV Fleet_08,LNG Carrier,21.09,1.0,11040,Underway,2026-05-25 04:56:43.203853,9.44
TEL-10051,MV Fleet_04,Tanker,10.75,9.0,38896,Underway,2026-05-25 05:11:43.203853,15.72
TEL-10052,MV Fleet_02,LNG Carrier,20.93,4.0,26804,Underway,2026-05-25 05:26:43.203853,10.91
TEL-10053,MV Fleet_06,Bulk Carrier,19.09,8.0,14292,Underway,2026-05-25 05:41:43.203853,18.25
TEL-10054,MV Fleet_10,Container,16.89,7.0,31110,Underway,2026-05-25 05:56:43.203853,15.93
TEL-10055,MV Fleet_04,Tanker,19.19,7.0,10349,Underway,2026-05-25 06:11:43.203853,16.51
TEL-10056,MV Fleet_18,LNG Carrier,14.59,2.0,35374,Underway,2026-05-25 06:26:43.203853,7.46
TEL-10057,MV Fleet_12,LNG Carrier,10.21,1.0,24009,Underway,2026-05-25 06:41:43.203853,3.39
TEL-10058,MV Fleet_02,LNG Carrier,18.65,4.0,47591,Underway,2026-05-25 06:56:43.203853,11.38
TEL-10059,MV Fleet_10,Bulk Carrier,16.39,2.0,5057,Underway,2026-05-25 07:11:43.203853,9.73
TEL-10060,MV Fleet_04,Tanker,18.23,8.0,13503,Underway,2026-05-25 07:26:43.203853,20.95
TEL-10061,MV Fleet_14,Bulk Carrier,13.41,7.0,33293,Underway,2026-05-25 07:41:43.203853,15.12
TEL-10062,MV Fleet_16,Tanker,22.51,8.0,47961,Underway,2026-05-25 07:56:43.203853,19.1
TEL-10063,MV Fleet_15,Container,17.4,6.0,24121,Underway,2026-05-25 08:11:43.203853,14.48
TEL-10064,MV Fleet_08,Bulk Carrier,9.37,1.0,10493,Anchored,2026-05-25 08:26:43.203853,3.52
TEL-10065,MV Fleet_14,Bulk Carrier,15.2,,41645,Underway,2026-05-25 08:41:43.203853,18.59
TEL-10066,MV Fleet_08,Container,20.1,6.0,7282,Underway,2026-05-25 08:56:43.203853,15.85
TEL-10067,MV Fleet_16,Tanker,20.71,1.0,28170,Moored,2026-05-25 09:11:43.203853,9.33
TEL-10068,MV Fleet_13,LNG Carrier,15.91,1.0,49143,Underway,2026-05-25 09:26:43.203853,8.6
TEL-10069,MV Fleet_18,Container,22.32,8.0,6431,Underway,2026-05-25 09:41:43.203853,17.08
TEL-10070,MV Fleet_15,LNG Carrier,12.28,6.0,39543,Anchored,2026-05-25 09:56:43.203853,11.08
TEL-10071,MV Fleet_13,LNG Carrier,14.57,8.0,25591,Underway,2026-05-25 10:11:43.203853,17.24
TEL-10072,MV Fleet_09,Container,22.38,8.0,16351,Moored,2026-05-25 10:26:43.203853,19.82
TEL-10073,MV Fleet_15,Tanker,22.34,8.0,37483,Moored,2026-05-25 10:41:43.203853,20.75
TEL-10074,MV Fleet_13,LNG Carrier,18.97,7.0,36195,Underway,2026-05-25 10:56:43.203853,16.17
TEL-10075,MV Fleet_01,Container,21.74,7.0,42153,Moored,2026-05-25 11:11:43.203853,20.35
TEL-10076,MV Fleet_07,Bulk Carrier,9.42,4.0,27735,Moored,2026-05-25 11:26:43.203853,9.55
TEL-10077,MV Fleet_09,Bulk Carrier,21.84,9.0,20203,Underway,2026-05-25 11:41:43.203853,21.51
TEL-10078,MV Fleet_01,Bulk Carrier,13.13,2.0,8974,Moored,2026-05-25 11:56:43.203853,8.7
TEL-10079,MV Fleet_12,Container,10.85,9.0,43673,Underway,2026-05-25 12:11:43.203853,16.27
TEL-10080,MV Fleet_08,Bulk Carrier,11.83,3.0,42233,Underway,2026-05-25 12:26:43.203853,7.27
TEL-10081,MV Fleet_11,LNG Carrier,14.69,2.0,24686,Underway,2026-05-25 12:41:43.203853,9.06
TEL-10082,MV Fleet_19,Bulk Carrier,12.02,4.0,44713,Underway,2026-05-25 12:56:43.203853,6.64
TEL-10083,MV Fleet_17,Bulk Carrier,13.13,5.0,48826,Underway,2026-05-25 13:11:43.203853,10.94
TEL-10084,MV Fleet_08,LNG Carrier,10.16,2.0,17636,Underway,2026-05-25 13:26:43.203853,5.59
TEL-10085,MV Fleet_03,Bulk Carrier,12.74,1.0,40070,Underway,2026-05-25 13:41:43.203853,4.19
TEL-10086,MV Fleet_03,LNG Carrier,17.16,5.0,34123,Underway,2026-05-25 13:56:43.203853,11.4
TEL-10087,MV Fleet_01,Bulk Carrier,15.07,9.0,36812,Underway,2026-05-25 14:11:43.203853,17.42
TEL-10088,MV Fleet_05,LNG Carrier,13.55,5.0,33760,Underway,2026-05-25 14:26:43.203853,8.59
TEL-10089,MV Fleet_10,Bulk Carrier,19.94,9.0,9966,Underway,2026-05-25 14:41:43.203853,22.31
TEL-10090,MV Fleet_07,LNG Carrier,22.3,6.0,23426,Anchored,2026-05-25 14:56:43.203853,19.24
TEL-10091,MV Fleet_09,Container,20.11,3.0,19162,Underway,2026-05-25 15:11:43.203853,11.18
TEL-10092,MV Fleet_07,LNG Carrier,13.31,4.0,21058,Underway,2026-05-25 15:26:43.203853,8.79
TEL-10093,MV Fleet_09,Bulk Carrier,19.91,4.0,46482,Underway,2026-05-25 15:41:43.203853,10.25
TEL-10094,MV Fleet_08,Bulk Carrier,10.43,1.0,48667,Underway,2026-05-25 15:56:43.203853,2.67
TEL-10095,MV Fleet_12,Tanker,10.09,3.0,7998,Underway,2026-05-25 16:11:43.203853,8.76
TEL-10096,MV Fleet_02,LNG Carrier,13.53,3.0,5909,Moored,2026-05-25 16:26:43.203853,7.86
TEL-10097,MV Fleet_01,Container,20.92,1.0,39648,Underway,2026-05-25 16:41:43.203853,7.76
TEL-10098,MV Fleet_16,LNG Carrier,11.94,9.0,17497,Underway,2026-05-25 16:56:43.203853,16.28
TEL-10099,MV Fleet_05,LNG Carrier,9.01,1.0,23944,Underway,2026-05-25 17:11:43.203853,2.37
TEL-10100,MV Fleet_03,Container,10.11,9.0,12527,Underway,2026-05-25 17:26:43.203853,13.18
TEL-10101,MV Fleet_12,LNG Carrier,21.74,1.0,43464,Underway,2026-05-25 17:41:43.203853,8.55
TEL-10102,MV Fleet_08,Container,18.14,2.0,8072,Underway,2026-05-25 17:56:43.203853,6.95
TEL-10103,MV Fleet_03,Container,12.05,2.0,17018,Underway,2026-05-25 18:11:43.203853,6.39
TEL-10104,MV Fleet_01,LNG Carrier,16.88,6.0,34652,Underway,2026-05-25 18:26:43.203853,15.27
TEL-10105,MV Fleet_03,LNG Carrier,16.44,7.0,9476,Underway,2026-05-25 18:41:43.203853,14.1
TEL-10106,MV Fleet_05,Bulk Carrier,18.49,,48835,Anchored,2026-05-25 18:56:43.203853,7.49
TEL-10107,MV Fleet_15,Bulk Carrier,11.73,3.0,35232,Underway,2026-05-25 19:11:43.203853,7.11
TEL-10108,MV Fleet_14,Tanker,21.83,2.0,32482,Moored,2026-05-25 19:26:43.203853,9.45
TEL-10109,MV Fleet_03,Tanker,12.95,8.0,42257,Underway,2026-05-25 19:41:43.203853,11.69
TEL-10110,MV Fleet_01,LNG Carrier,19.11,9.0,25875,Underway,2026-05-25 19:56:43.203853,17.99
TEL-10111,MV Fleet_05,Container,8.26,2.0,21219,Underway,2026-05-25 20:11:43.203853,3.28
TEL-10112,MV Fleet_14,Tanker,13.96,2.0,35448,Anchored,2026-05-25 20:26:43.203853,6.75
TEL-10113,MV Fleet_07,LNG Carrier,13.63,9.0,19367,Underway,2026-05-25 20:41:43.203853,17.26
TEL-10114,MV Fleet_09,Tanker,16.7,4.0,30120,Underway,2026-05-25 20:56:43.203853,12.66
TEL-10115,MV Fleet_15,Container,9.16,5.0,11855,Underway,2026-05-25 21:11:43.203853,7.68
TEL-10116,MV Fleet_15,LNG Carrier,20.64,9.0,8097,Underway,2026-05-25 21:26:43.203853,19.14
