event_id,timestamp,language_pair,ai_model_version,ai_model_provider,customer_tier,traffic_volume,content_type,sentence_length_words,latency_ms,user_edit_distance,quality_score
1,2026-04-01,en-pt,v1,OpenAI,premium,low,documentation,22,401,0.3408,0.6587
2,2026-04-01,en-pt,v1,OpenAI,enterprise,medium,documentation,51,368,0.4285,0.5825
3,2026-04-01,en-fr,v1,Internal,premium,high,marketing,14,410,0.49,0.4971
4,2026-04-01,en-pt,v1,OpenAI,free,low,marketing,20,395,0.5164,0.4683
5,2026-04-01,en-de,v1,Gemini,free,low,documentation,26,459,0.4079,0.6144
6,2026-04-01,en-de,v1,OpenAI,free,high,legal,52,433,0.6453,0.3809
7,2026-04-01,en-zh,v1,Internal,free,high,marketing,22,400,0.8594,0.1265
8,2026-04-01,en-es,v1,Gemini,free,medium,documentation,49,399,0.3268,0.6781
9,2026-04-01,en-es,v1,Gemini,free,low,documentation,29,408,0.3911,0.5706
10,2026-04-01,en-ja,v1,Internal,free,medium,documentation,44,429,0.9208,0.098
11,2026-04-01,en-el,v1,OpenAI,free,low,documentation,30,449,0.5012,0.4847
12,2026-04-01,en-pt,v1,Internal,premium,medium,documentation,33,415,0.3435,0.6059
13,2026-04-01,en-es,v1,OpenAI,enterprise,high,marketing,13,497,0.3855,0.6038
14,2026-04-01,en-el,v1,Internal,free,low,support_ticket,19,316,0.5553,0.4577
15,2026-04-01,en-de,v1,OpenAI,enterprise,high,support_ticket,18,421,0.4255,0.6226
16,2026-04-01,en-es,v1,OpenAI,premium,low,support_ticket,35,441,0.3951,0.6488
17,2026-04-01,en-el,v1,Internal,enterprise,medium,documentation,21,406,0.5611,0.3948
18,2026-04-01,en-es,v1,OpenAI,free,medium,documentation,97,360,0.4986,0.4374
19,2026-04-01,en-pt,v1,Internal,premium,medium,marketing,17,429,0.4605,0.5348
20,2026-04-01,en-fr,v1,Gemini,premium,medium,documentation,38,427,0.4846,0.5449
21,2026-04-01,en-el,v1,Internal,free,medium,legal,101,470,0.773,0.1999
22,2026-04-01,en-es,v1,OpenAI,premium,medium,legal,38,392,0.5251,0.4382
